,content,create_time,reference_time,score,nickname
0,"很不错啊，老婆很喜欢。
外形外观：大小合适，老婆手小。
运行速度：很快，6s战到现在不错了。
屏幕音效：色彩温和，不刺眼",2022-02-14 19:49:25,2022-02-12 22:53:01,5,哈***1
1,"外形外观：非常小巧美观，捏在手上刚刚好
屏幕音效：双音响，很立体，听歌看电视都非常舒服
拍照效果：拍照非常棒，很清晰，就是放大倍数不行
运行速度：处理器还不错，很快，日常使用完全没问题
待机时间：待机基本上几天一天一充。还行吧",2022-01-09 11:25:11,2022-01-08 16:28:59,5,晨***6
2,网上说iPhone13 mini有一些小问题，比如屏幕等。我在上个月20日收到货后，特意使用了10天才来评价。目前来看，13的A15芯片的确强劲，配合iOS15.2非常流畅迅速。mini的身材也是我这种单手控的人最喜欢的。新出的白色很好看，大摄像头也不显得突兀。电池续航比我之前的XR有了较大提升，轻松点可以两天一充。总体来说，这个手机买的非常满意。,2022-01-01 20:11:19,2021-12-19 15:36:42,5,P***g
3,"好小啊这手机，打电话都怕麦克风收不到声音，哈哈哈
拍照效果：一般吧，
运行速度：无敌
屏幕音效：很舒服
待机时间：一晚掉电3%
其他特色：返回真是反人类，绝对是一大特色了",2021-12-11 08:36:59,2021-12-05 22:48:13,5,易***0
4,"外形外观：小巧可爱
屏幕音效：很好
拍照效果：和12pm一样的摄像头，很好
运行速度：很快，a15不开玩笑
待机时间：续航很强",2021-11-29 18:50:12,2021-11-29 08:02:30,5,雨***E
5,"外形外观：外观简直太喜欢。主要还是喜欢这个小小的。
屏幕音效：音效很棒。没杂音。很清晰
拍照效果：苹果原相机懂的都懂
运行速度：运行速度杠杠的
待机时间：待机时间反正我用一天不用充电。我不玩游戏。",2021-10-13 11:01:23,2021-10-12 17:24:19,5,嘻***你
6,"外形外观：外形不错，挺好看的。
屏幕音效：屏幕挺好的，非常清晰，音效不错，非常清楚。
拍照效果：拍照非常清晰。
运行速度：运行速度非常快。
待机时间：作为一个备用手机，待机绝对够了。
其他特色：东西不错，非常满意，以后有需要还会再来光顾的。",2021-12-23 19:37:11,2021-12-22 22:58:51,5,峥***峥
7,"很早就拿到了,用了一段时间，拍照清晰,分辨率高,运行不发热,极速充电,外观好看,手感 错,正品,系统流畅,色彩饱和度不错,界面美观,屏幕很大绝绝子!买它",2021-11-10 09:57:44,2021-10-28 08:16:05,5,怵***v
8,"外形外观：非常漂亮，小巧玲珑，手感非常好人适合手小的和女士  值得购买
屏幕音效：屏幕小巧  色彩靓丽  声音浑厚
拍照效果：画面细腻  漂亮  色彩丰富 焦距也适合
运行速度：速度很快  5g确实快  信号?也挺好",2021-12-18 01:40:47,2021-12-11 20:05:21,5,如***7
9,等了好久，抢了好久！终于到手了，小屏太舒服了，迷你小巧，拿在手里又轻又舒服！红色大爱，特别好看！真不错！,2021-10-04 21:57:45,2021-10-03 09:50:52,5,****r
